ingredeint_id,ingredient_name,ingredient_image_url
1780,Green,
1781,Chillies,
1782,slit,
1783,Red,
1784,Chilli,
1785,powder,
1786,Garam,
1787,mala,
1788,powder,
1789,Ciander,
1790,Powder,
1791,Turmeric,
1792,powder,
1793,Salt,
1794,Fish,
1795,lets,
1796,Ajwa,
1797,Gram,
1798,flour,
1799,Khmiri,
1800,Red,
1801,Chilli,
1802,Powder,
1803,Turmeric,
1804,powder,
1805,Gger,
1806,Garlic,
1807,Pte,
1808,Lemon,
1809,juice,
1810,Salt,
1811,Oil,
1812,Gravy,
1813,Curd,
1814,beaten,
1815,Water,
1816,Ajwa,
1817,Cnamon,
1818,Stick,
1819,Green,
1820,Chillies,
1821,Fresh,
1822,Red,
1823,chillies,
1824,Turmeric,
1825,powder,
1826,Chew,
1827,nuts,
1828,Homemade,
1829,ma,
1830,puree,
1831,Onion,
1832,chopped,
1833,Ciander,
1834,Leaves,
1835,chopped,
1836,garnish,
1837,Ghee,
1838,Salt,
